,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
294,CCCCC1CCCC1=O,-5.646,-6.06,-5.654,-5.654,-5.468,-5.741,-5.309,-5.112,-5.485,-5.247
295,CCC(C)=CC=CC(C)=CC=CC=CO,-6.414,-6.783,-6.393,-6.212,,-5.931,-5.894,-5.555,-5.966,-5.614
296,CC=CC(C=C(C)C=C(C)O)=CC,-6.467,-6.256,-6.168,-5.679,-5.702,-5.812,-5.591,-5.46,-5.714,-5.809
297,C=NC=C(C=CC)CCCC,-5.164,-5.652,-5.161,-5.147,-5.129,-4.877,-4.762,-4.692,-5.049,-4.77
298,CC=CCC(S)N(C)C(C)=O,-5.366,-5.099,-5.284,-5.359,-4.365,-4.67,-4.719,-4.848,-5.002,-5.136
299,CCC=CC=COCS,-4.639,-4.819,-4.136,-4.306,-4.179,-4.34,-4.187,-4.088,-4.451,-4.317
300,CCC=C(C)C=C(C)COC1(C)CC1,-6.123,-6.754,-6.525,-6.013,-5.191,-5.952,-5.519,-5.489,-5.861,-5.758
301,C=C(CCC)C(C)SC,-4.844,-4.833,-4.746,-4.622,-4.81,-4.29,-4.556,-4.265,-4.491,-4.592
302,CCC(CC)OSO,-4.658,-4.672,-4.553,-4.551,-4.295,-4.402,-4.223,-4.399,-4.294,-4.242
303,CC=C(C)C(C)(C)CCC,-5.537,-5.52,-5.28,-5.342,-4.964,-5.61,-5.084,-4.757,-4.948,-5.614
304,C=CC1=CCC(C)(CCC(C)(CC)CCl)C1=C,-7.533,-6.717,-7.449,-6.549,-4.682,-6.177,-6.845,-5.108,-6.893,-7.179
305,C=CCC=CCC=CC(O)=CC,-5.63,-5.788,-5.744,-5.166,-5.277,-5.177,-4.969,-5.411,-5.28,-5.395
306,C=C(C)CC=COCCCC(CC)CC,-6.534,-6.552,-5.986,-5.573,-4.297,-5.832,-5.294,-5.11,-5.549,-5.727
307,C=C1C=C=CC(C)=C1C=CC(C)S,-6.381,-6.461,-6.562,-5.981,-5.309,-5.15,-6.259,-4.708,-5.964,-6.609
308,CCC1C(=O)C2CC1=[SH]2,,,,,,,,,,
309,C=CC=C(C)C(O)CCC,-5.464,-5.617,-5.062,-5.421,-5.248,-5.104,-4.728,-4.936,-5.234,-5.036
310,CCOC(CCC(C)=O)OC,-5.209,-5.264,-5.085,-5.033,-4.719,-5.298,-4.701,-4.724,-4.808,-4.622
311,CCS1=C(C(C)=O)CC1,-5.079,-4.894,-4.953,-4.83,-4.258,-4.771,-4.394,-4.636,-4.961,-4.763
312,CC(C)(C)CS[Na],,,,,,,,,,
